"id_credito","monto","fecha","id_asistencia"
30,12.00,2007-10-13,1
30,11.00,2007-10-20,1
30,25.00,2007-11-03,1
30,10.50,2007-11-10,1
30,22.00,2007-11-24,1
30,12.00,2007-12-01,1
30,20.50,2007-12-15,1
30,12.00,2007-12-22,1
30,12.00,2007-12-29,1
30,10.00,2008-01-05,1
30,11.00,2008-01-12,1
30,24.00,2008-01-26,1
30,22.00,2008-02-09,1
30,12.00,2008-02-16,1
31,13.50,2007-05-05,1
31,11.25,2007-05-12,1
31,9.00,2007-05-19,1
31,12.00,2007-05-26,1
31,10.00,2007-06-02,1
31,13.00,2007-06-09,1
31,25.00,2007-06-23,1
31,10.00,2007-06-30,1
31,40.75,2007-07-21,1
31,10.00,2007-07-28,1
31,12.00,2007-08-04,1
31,22.50,2007-08-18,1
31,20.00,2007-09-08,1
31,35.00,2007-10-06,1
31,30.00,2007-10-20,1
31,5.00,2007-11-10,1
31,50.00,2007-12-08,1
31,140.00,2008-01-26,1
32,12.00,2007-05-05,1
32,12.00,2007-05-12,1
32,12.00,2007-05-19,1
32,12.00,2007-05-26,1
32,12.00,2007-06-02,1
32,11.25,2007-06-09,1
32,12.00,2007-06-16,1
32,12.00,2007-06-23,1
32,12.00,2007-06-30,1
32,12.00,2007-07-07,1
32,11.25,2007-07-14,1
32,20.00,2007-07-28,1
32,12.00,2007-08-04,1
32,17.50,2007-08-18,1
32,25.00,2007-09-01,1
32,10.00,2007-09-15,1
32,22.00,2007-09-22,1
32,11.25,2007-09-29,1
32,12.00,2007-10-06,1
32,12.00,2007-10-13,1
32,20.25,2007-10-27,1
32,12.00,2007-11-03,1
32,10.00,2007-11-17,1
32,12.00,2007-11-24,1
32,24.00,2007-12-08,1
32,30.25,2007-12-29,1
32,25.00,2008-01-12,1
32,30.00,2008-01-26,1
32,0.75,2008-02-09,1
33,52.50,2007-05-07,1
33,87.50,2007-06-04,1
33,74.00,2007-07-02,1
33,51.50,2007-08-06,1
33,85.00,2007-09-03,1
33,70.00,2007-10-01,1
33,71.00,2007-11-05,1
33,17.50,2007-12-01,1
33,70.50,2007-12-03,1
33,86.50,2008-01-07,1
33,20.00,2008-02-04,1
33,20.00,2008-02-09,1
33,20.00,2008-02-16,1
33,62.00,2008-03-03,1
33,52.00,2008-04-07,1
34,9.00,2007-05-19,1
34,15.00,2007-05-26,1
34,7.50,2007-06-02,1
