"id","id_beneficaria","id_rubro","fecha_entrega","fecha_cobro","prestamo","saldo_anterior","monto_cheque","tasa_interes","deuda_total","id_cartera","cuotas","nro_credito","fecha_finalizacion","comentarios","gastos_arquitecto"
151,24,1,2006-06-10,2006-06-13,450.00,0,450.00,0.01,517.50,1,48,"2",2008-12-31,"Incobrable 2008",\N
152,25,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,385.96,1,48,"Desconocido",2007-06-04,\N,\N
153,26,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,357.60,1,48,"Desconocido",2006-09-16,\N,\N
154,27,1,2006-06-10,2006-06-12,450.00,0,450.00,0.01,517.50,1,48,"2",2008-04-15,"Incobrable 2008",\N
155,30,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,8.60,1,48,"Desconocido",2006-11-25,\N,\N
156,31,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,27.50,1,48,"Desconocido",2006-09-02,\N,\N
157,32,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,0.90,1,48,"Desconocido",2006-08-31,\N,\N
159,35,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,155.00,1,48,"Desconocido",2006-11-04,\N,\N
161,40,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,255.14,1,48,"Desconocido",2006-12-04,\N,\N
162,44,1,2005-10-21,2005-10-23,450.00,0,450.00,0.01,517.50,1,48,"4",2008-04-12,\N,\N
163,46,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,253.50,1,48,"Desconocido",2006-11-18,\N,\N
164,51,1,2006-02-18,2006-02-20,450.00,0,342.20,0.01,517.50,1,48,"5",2008-03-29,\N,\N
165,52,1,2006-01-04,2006-03-04,450.00,0,327.00,0.01,517.50,1,48,"3",2008-12-31,"Incobrable 2008",\N
166,53,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,306.40,1,48,"Desconocido",2007-08-11,\N,\N
167,54,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,176.75,1,48,"Desconocido",2007-10-01,\N,\N
168,55,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,287.08,1,48,"Desconocido",2007-06-04,\N,\N
169,56,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,355.34,1,48,"Desconocido",2007-08-11,\N,\N
170,57,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,346.22,1,48,"Desconocido",2007-09-03,\N,\N
171,66,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,440.50,1,48,"4",2007-05-19,\N,\N
172,67,1,2004-12-16,2006-12-18,450.00,0,450.00,0.01,517.50,1,48,"2",2007-05-07,\N,\N
173,70,1,2006-07-29,2006-07-31,450.00,0,441.52,0.01,517.50,1,48,"3",2007-08-25,\N,\N
174,71,1,2006-03-18,2006-03-20,450.00,0,356.00,0.01,517.50,1,48,"2",2007-08-04,\N,\N
175,75,1,2005-07-09,2005-07-09,400.00,0,400.00,0.01,460.00,1,48,"2",2007-10-01,\N,\N
176,76,1,2005-06-18,2005-06-20,450.00,0,364.40,0.01,517.50,1,48,"Desconocido",2007-03-05,\N,\N
177,79,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,98.58,1,48,"Desconocido",2006-09-04,\N,\N
178,80,1,2005-09-17,2005-09-19,450.00,0,369.14,0.01,517.50,1,48,"2",2006-11-06,\N,\N
179,81,1,2006-11-08,2006-08-13,450.00,0,450.00,0.01,517.50,1,48,"3",2007-12-08,\N,\N
180,83,1,2005-12-25,2005-12-27,241.00,0,241.00,0.01,277.15,1,48,"1",2007-06-04,\N,\N
181,87,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,120.69,1,48,"Desconocido",2007-11-10,\N,\N
182,88,1,2005-10-09,2005-12-09,350.00,0,350.00,0.01,402.50,1,48,"1",2007-01-20,\N,\N
183,89,1,2005-10-09,2005-12-09,300.00,0,300.00,0.01,345.00,1,48,"1",2006-09-16,\N,\N
184,90,1,2005-10-09,2005-12-09,200.00,0,200.00,0.01,230.00,1,48,"1",2007-08-18,\N,\N
185,93,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,31.65,1,48,"Desconocido",2006-09-30,\N,\N
186,95,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,176.38,1,48,"Desconocido",2006-11-06,\N,\N
187,96,1,2005-12-17,2005-12-19,349.00,0,349.00,0.01,401.35,1,48,"1",2007-06-04,\N,\N
188,97,1,2005-12-17,2005-12-19,349.10,0,349.10,0.01,401.47,1,48,"1",2009-03-21,\N,\N
189,99,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,308.00,1,48,"Desconocido",2007-03-10,\N,\N
190,105,1,2006-08-07,2006-10-07,280.00,0,280.00,0.01,322.00,1,48,"1",2007-09-08,\N,\N
191,108,1,2006-11-08,2006-08-13,350.00,0,350.00,0.01,402.50,1,48,"1",2008-12-31,"Incobrable 2008",\N
192,109,1,2006-08-25,2006-08-27,300.00,0,300.00,0.01,345.00,1,48,"1",2007-07-07,\N,\N
193,111,1,2006-11-08,2006-08-13,350.00,0,350.00,0.01,402.50,1,48,"1",2008-05-24,\N,\N
194,112,1,2006-11-08,2006-11-10,350.00,0,350.00,0.01,402.50,1,48,"1",2007-10-06,\N,\N
203,153,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,402.50,1,48,"Desconocido",2007-09-29,\N,\N
204,154,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,345.00,1,48,"Desconocido",2007-07-07,\N,\N
205,157,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,377.78,1,48,"Desconocido",2007-08-18,\N,\N
208,195,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,59.05,1,48,"1",2006-09-23,\N,\N
209,197,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,31.00,1,48,"Desconocido",2006-10-28,\N,\N
210,201,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,21.20,1,48,"Desconocido",2006-09-04,\N,\N
211,205,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,59.92,1,48,"Desconocido",2006-10-21,\N,\N
212,206,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,71.70,1,48,"Desconocido",2006-11-25,\N,\N
213,207,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,292.50,1,48,"Desconocido",2006-12-16,\N,\N
214,208,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,232.50,1,48,"Desconocido",2007-02-10,\N,\N
217,212,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,232.30,1,48,"Desconocido",2006-12-09,\N,\N
218,213,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,234.92,1,48,"Desconocido",2007-03-05,\N,\N
219,214,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,193.50,1,48,"Desconocido",2007-12-22,\N,\N
220,215,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,114.27,1,48,"Desconocido",2007-01-01,\N,\N
221,216,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,49.02,1,48,"Desconocido",2006-09-16,\N,\N
222,217,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,429.44,1,48,"Desconocido",2007-06-04,\N,\N
223,218,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,64.30,1,48,"Desconocido",2007-02-05,\N,\N
224,219,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,35.55,1,48,"Desconocido",2006-11-18,\N,\N
225,220,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,42.55,1,48,"Desconocido",2006-11-18,\N,\N
226,221,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,43.01,1,48,"Desconocido",2006-12-04,\N,\N
227,222,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,199.93,1,48,"Desconocido",2007-07-07,\N,\N
228,224,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,108.97,1,48,"Desconocido",2007-06-04,\N,\N
229,225,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,366.50,1,48,"Desconocido",2007-03-05,\N,\N
230,227,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,42.00,1,48,"Desconocido",2006-10-02,\N,\N
231,228,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,56.00,1,48,"Desconocido",2007-06-30,\N,\N
232,229,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,97.00,1,48,"Desconocido",2007-01-06,\N,\N
233,230,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,172.45,1,48,"Desconocido",2007-06-30,\N,\N
234,231,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,182.82,1,48,"Desconocido",2007-06-30,\N,\N
235,232,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,145.02,1,48,"Desconocido",2007-06-30,\N,\N
